판매일,본부,판매처,매출,시도,목표액,지출,손익,누적손익
11/28/2019,공공사업본부,제주도 마케팅 행사,0.050118575458351,제주시,,,,
11/27/2019,공공사업본부,제주도 마케팅 행사,0.048838102079604,제주시,,,,
11/26/2019,공공사업본부,제주도 마케팅 행사,0.048791433850834,제주시,,,,
11/25/2019,공공사업본부,제주도 마케팅 행사,0.055428543635155,제주시,,,,
11/24/2019,공공사업본부,제주도 마케팅 행사,0.063028122996128,제주시,,,,
11/23/2019,공공사업본부,제주도 마케팅 행사,0.070763591816883,제주시,,,,
11/22/2019,공공사업본부,제주도 마케팅 행사,0.049889693136527,제주시,,,,
11/21/2019,공공사업본부,제주도 마케팅 행사,0.056153472395899,제주시,,,,
11/20/2019,공공사업본부,제주도 마케팅 행사,0.04806605613242,제주시,,,,
11/19/2019,공공사업본부,제주도 마케팅 행사,0.028764709264042,제주시,,,,
11/28/2019,공공사업본부,제주도 마케팅 행사,0.011910084443418,서귀포시,,,,
11/27/2019,공공사업본부,제주도 마케팅 행사,0.030500881515681,서귀포시,,,,
11/26/2019,공공사업본부,제주도 마케팅 행사,0.013237226050935,서귀포시,,,,
11/25/2019,공공사업본부,제주도 마케팅 행사,0.042663290628106,서귀포시,,,,
11/24/2019,공공사업본부,제주도 마케팅 행사,0.013425806650238,서귀포시,,,,
11/23/2019,공공사업본부,제주도 마케팅 행사,0.01867308059962,서귀포시,,,,
11/22/2019,공공사업본부,제주도 마케팅 행사,0.025121709535379,서귀포시,,,,
11/21/2019,공공사업본부,제주도 마케팅 행사,0.010202768429249,서귀포시,,,,
11/20/2019,공공사업본부,제주도 마케팅 행사,0.032715454437325,서귀포시,,,,
11/19/2019,공공사업본부,제주도 마케팅 행사,0.01595362694421,서귀포시,,,,
1/1/2015,금융사업본부,,,,1.160,0.929260990243653,0.360270505335663,0.360270505335663
2/1/2015,금융사업본부,,,,1.337,0.715157910127632,0.634558585318111,1.0618545593014
3/1/2015,금융사업본부,,,,1.410,1.45552636804806,0.048276039242184,1.07948545642616
4/1/2015,금융사업본부,,,,1.716,1.29667790042267,0.058455487007941,1.07263072485166
5/1/2015,금융사업본부,,,,1.700,1.15333956686412,0.301880808111119,1.44317618726544
6/1/2015,금융사업본부,,,,1.424,1.16509095797798,0.164968493954204,1.54923514329672
7/1/2015,금융사업본부,,,,1.419,1.17037132737215,0.054001677736694,1.39094888973841
8/1/2015,금융사업본부,,,,1.537,0.962300724067181,0.379114459205535,1.88820433994276
9/1/2015,금융사업본부,,,,1.534,1.60275195476853,-0.082447446105663,2.16303384842081
10/1/2015,금융사업본부,,,,0.974,0.950501093485346,0.171316626222849,1.81787793711842
11/1/2015,금융사업본부,,,,1.648,0.740763111852221,0.549669452185983,2.7469373470958
12/1/2015,금융사업본부,,,,1.721,1.49774011843634,-0.095982026146139,2.7644542784659
1/1/2016,금융사업본부,,,,1.881,1.18121003390952,0.722921877869561,0.722921877869561
2/1/2016,금융사업본부,,,,1.839,1.15989853282176,0.304877622761128,0.877176575724227
3/1/2016,금융사업본부,,,,2.127,1.46893368692757,0.299170566361168,1.35624814560135
4/1/2016,금융사업본부,,,,1.409,1.28734208095484,0.310869314090268,1.48921086704894
5/1/2016,금융사업본부,,,,1.962,1.57742745556798,0.175032369387784,1.86662619445051
6/1/2016,금융사업본부,,,,1.456,0.724991499520258,0.739296340632716,2.31329497904524
7/1/2016,금융사업본부,,,,1.755,1.33506156443345,0.363719105966051,2.94145718471106
8/1/2016,금융사업본부,,,,1.672,1.32029178042769,0.33228213105388,3.19411274468233
9/1/2016,금융사업본부,,,,1.888,1.3459446309159,0.329938877650855,3.63536979228405
10/1/2016,금융사업본부,,,,1.875,1.73719202136017,-0.231393068020102,2.88704999924045
11/1/2016,금융사업본부,,,,2.181,1.57835940538675,0.087035696254986,3.35714444754038
12/1/2016,금융사업본부,,,,1.724,1.40348209046404,0.311454807638517,3.68465978632216
1/1/2017,금융사업본부,,,,1.893,1.6482240890765,-0.038737610773386,-0.038737610773386
2/1/2017,금융사업본부,,,,1.494,1.06395939469023,0.264090354241826,0.226551910358154
3/1/2017,금융사업본부,,,,1.508,0.98659085706265,0.279668277739697,0.47644264299895
4/1/2017,금융사업본부,,,,1.797,1.07046228038466,0.520028242991894,1.07524795162543
5/1/2017,금융사업본부,,,,1.313,1.17207663963695,0.299895265291084,1.34407923081526
6/1/2017,금융사업본부,,,,1.206,0.895129069413022,0.408814451927929,1.71335841257861
7/1/2017,금융사업본부,,,,1.500,0.853635994285328,0.665350529239449,2.54363469125166
8/1/2017,금융사업본부,,,,1.409,0.91389784071968,0.524453537364981,2.89456518246311
9/1/2017,금융사업본부,,,,1.694,0.647335651716595,0.753341260327037,3.72070504736472
10/1/2017,금융사업본부,,,,2.010,0.927073028796483,0.563215756137362,4.36081120434985
11/1/2017,금융사업본부,,,,1.881,2.00655862801807,-0.428997565571078,4.23826429276529
12/1/2017,금융사업본부,,,,1.687,1.11758681352754,0.27299855704092,4.07961792929092
1/1/2018,금융사업본부,,,,1.762,2.03796146169708,-0.083101888723157,-0.083101888723157
2/1/2018,금융사업본부,,,,2.431,2.12129883647674,-0.070993172593619,-0.163679428456511
3/1/2018,금융사업본부,,,,2.744,1.82239796742066,0.509099258566497,0.333341960902627
4/1/2018,금융사업본부,,,,2.327,1.67139098087649,0.388854938818319,0.694553490906388
5/1/2018,금융사업본부,,,,2.158,1.8619368528086,-0.111606963388359,0.501035403014994
6/1/2018,금융사업본부,,,,2.689,2.3768457025976,-0.28391654092205,0.274113534000871
7/1/2018,금융사업본부,,,,2.302,1.17787491468078,0.924719954016773,1.18937259443503
8/1/2018,금융사업본부,,,,2.596,2.01374286476105,0.034403081589453,1.24880563667088
9/1/2018,금융사업본부,,,,1.853,1.36455268882063,0.524693299439273,1.7020545848914
10/1/2018,금융사업본부,,,,1.807,1.10690042631844,0.602670538054562,2.10768624372394
11/1/2018,금융사업본부,,,,2.356,1.4342760373331,0.48503266990651,2.69839009561961
12/1/2018,금융사업본부,,,,2.550,1.15191388296813,0.771284119792205,3.818828976553
1/1/2019,금융사업본부,,,,2.38427846800908,2.12125124133018,0.206291242473243,0.206291242473243
2/1/2019,금융사업본부,,,,2.52474128810676,2.25156453538481,0.360919264311443,0.560013511430741
3/1/2019,금융사업본부,,,,2.66790640136489,2.21812575019538,-0.091839030036246,0.458446468709165
4/1/2019,금융사업본부,,,,3.19628995596663,1.80558880628879,0.977213440318955,1.50695515870237
5/1/2019,금융사업본부,,,,3.23997460547616,3.07356034392521,0.178825160565451,1.64751845053494
6/1/2019,금융사업본부,,,,3.34369903772542,2.19120396797107,0.683535109092663,2.32178151993891
7/1/2019,금융사업본부,,,,2.3511055630836,1.38254218180233,0.518116488585156,2.48220737838072
8/1/2019,금융사업본부,,,,2.8081937623461,2.2663448718982,0.386532388558518,3.27290851386729
9/1/2019,금융사업본부,,,,2.84576722056792,1.48955285575288,1.07864180926839,4.47567842033043
10/1/2019,금융사업본부,,,,2.79858968063173,2.85252954356709,-0.212417643148651,4.07896944986099
11/1/2019,금융사업본부,,,,3.00399135226661,1.61142568828027,0.218911549527201,4.36310564640105
12/1/2019,금융사업본부,,,,2.57305200718537,,,
1/1/2015,공공사업본부,,,,1.413,1.13177506033935,0.438784342822618,0.438784342822618
2/1/2015,공공사업본부,,,,1.377,0.736349211629986,0.653361596669804,1.09214593949242
3/1/2015,공공사업본부,,,,1.704,1.75871290726806,0.058331951375687,1.15047789086811
4/1/2015,공공사업본부,,,,2.140,1.61730644880141,0.072909730377107,1.22338762124522
5/1/2015,공공사업본부,,,,1.651,1.12005695968171,0.293169253733781,1.516556874979
6/1/2015,공공사업본부,,,,1.874,1.53318086272865,0.217087375154561,1.73364425013356
7/1/2015,공공사업본부,,,,1.940,1.59957356856914,0.073805342241212,1.80744959237477
8/1/2015,공공사업본부,,,,1.715,1.07397605653294,0.423110823559719,2.23056041593449
9/1/2015,공공사업본부,,,,1.579,1.65024455855673,-0.084890521517048,2.14566989441744
10/1/2015,공공사업본부,,,,1.268,1.23690388764578,0.222937356354201,2.36860725077164
11/1/2015,공공사업본부,,,,2.052,0.922002767822138,0.684154958844466,3.05276220961611
12/1/2015,공공사업본부,,,,2.055,1.7888500453557,-0.114637679602324,2.93812453001378
1/1/2016,공공사업본부,,,,1.982,1.24487067232528,0.76188333853171,0.76188333853171
2/1/2016,공공사업본부,,,,2.370,1.49495345151086,0.39294631516291,1.15482965369462
3/1/2016,공공사업본부,,,,2.290,1.58135688335736,0.322067250974878,1.4768969046695
4/1/2016,공공사업본부,,,,1.796,1.64084417057565,0.396233533714309,1.87313043838381
5/1/2016,공공사업본부,,,,2.172,1.74579137495207,0.193714138635042,2.06684457701885
6/1/2016,공공사업본부,,,,1.748,0.86998904384563,0.887154838272222,2.95399941529107
7/1/2016,공공사업본부,,,,1.971,1.49921839320326,0.40844136940992,3.36244078470099
8/1/2016,공공사업본부,,,,2.060,1.62709153724516,0.409495424746503,3.77193620944749
9/1/2016,공공사업본부,,,,2.339,1.66706135440935,0.408656002345839,4.18059221179333
10/1/2016,공공사업본부,,,,2.244,2.07932985522309,-0.276965648419882,3.90362656337345
11/1/2016,공공사업본부,,,,2.874,2.08003318440809,0.114699564510196,4.01832612788365
12/1/2016,공공사업본부,,,,1.838,1.49639667956674,0.332074020147473,4.35040014803112
1/1/2017,공공사업본부,,,,2.345,2.0415587242385,-0.047982011520576,-0.047982011520576
2/1/2017,공공사업본부,,,,1.900,1.35281618156581,0.335788852842271,0.287806841321695
3/1/2017,공공사업본부,,,,2.175,1.42266771000933,0.403282703671885,0.69108954499358
4/1/2017,공공사업본부,,,,2.188,1.30389416989277,0.633428946205423,1.324518491199
5/1/2017,공공사업본부,,,,1.575,1.40645087624469,0.359863804453033,1.68438229565204
6/1/2017,공공사업본부,,,,1.503,1.11590446729248,0.509644797369004,2.19402709302104
7/1/2017,공공사업본부,,,,1.585,0.901599251755198,0.702734588669069,2.89676168169011
8/1/2017,공공사업본부,,,,1.629,1.05682543183127,0.606474609530444,3.50323629122055
9/1/2017,공공사업본부,,,,1.797,0.686912241868925,0.79939878585609,4.30263507707664
10/1/2017,공공사업본부,,,,2.405,1.10912151030267,0.673813918288914,4.97644899536556
11/1/2017,공공사업본부,,,,1.896,2.02250488242015,-0.432406837656604,4.54404215770895
12/1/2017,공공사업본부,,,,1.871,1.23981715843087,0.302856378716446,4.8468985364254
1/1/2018,공공사업본부,,,,2.132,2.46549484310243,-0.100535403612784,-0.100535403612784
2/1/2018,공공사업본부,,,,2.634,2.29906544865345,-0.076942459682563,-0.177477863295347
3/1/2018,공공사업본부,,,,3.143,2.08739689677018,0.583128510609453,0.405650647314106
4/1/2018,공공사업본부,,,,2.727,1.95885918162964,0.455735417949214,0.861386065263321
5/1/2018,공공사업본부,,,,2.868,2.47476303913039,-0.148340577440347,0.713045487822974
6/1/2018,공공사업본부,,,,3.028,2.6758457061818,-0.319632383418907,0.393413104404068
7/1/2018,공공사업본부,,,,2.707,1.38488741159928,1.08724025582935,1.48065336023341
8/1/2018,공공사업본부,,,,2.836,2.19999016849302,0.037584958132994,1.51823831836641
9/1/2018,공공사업본부,,,,2.397,1.76504601712194,0.678689673160431,2.19692799152684
10/1/2018,공공사업본부,,,,2.428,1.48750103319536,0.809894934284416,3.00682292581125
11/1/2018,공공사업본부,,,,3.480,2.11820886286774,0.716319922688471,3.72314284849972
12/1/2018,공공사업본부,,,,2.931,1.32411664379544,0.886585494985504,4.60972834348523
1/1/2019,공공사업본부,,,,3.01312194430779,2.68072238641622,0.260699695087915,0.260699695087915
2/1/2019,공공사업본부,,,,2.85772311977282,2.54851776644991,0.408520005932026,0.669219701019941
3/1/2019,공공사업본부,,,,3.05290815073031,2.53822029837774,-0.105092188844925,0.564127512175016
4/1/2019,공공사업본부,,,,3.55590719605027,2.00873710390534,1.08716053686573,1.65128804904074
5/1/2019,공공사업본부,,,,3.95716207128532,3.75391103258355,0.218409163326486,1.86969721236723
6/1/2019,공공사업본부,,,,3.62634158323719,2.37642622040924,0.741314263556289,2.61101147592352
7/1/2019,공공사업본부,,,,3.16397872456643,1.8605434471862,0.69725050736576,3.30826198328928
